Ingredient,CP (%),,EE (%),,CF (%),,NFE (%),,Ash (%),,NDF (%),,ADF (%),,Lignin (%),,ME(Mcal/kg)
Grains and seeds,,,,,,,,,,,,,,,,,
Maize,9.0,,4.2,,2.0,,81.6,,2.0,,15.6,,3.5,,1.0,,3.1
Sorghum,8.7,,2.5,,3.0,,81.6,,2.8,,10.9,,5.9,,1.1,,3.0
Wheat,11,,2.6,,2.0,,81.5,,2.4,,16.0,,4.0,,1.2,,2.9
Barley,12,,2.5,,5.9,,79.0,,2.5,,20.0,,7.0,,2.0,,2.8
Oats,11,,4.4,,15.5,,63.3,,5.0,,13.8,,5.0,,2.9,,2.6
Rice,9,,1.5,,10.1,,72.5,,8.4,,12.5,,4.3,,1.5,,2.8
Bajra,12,,3.5,,2.0,,78.4,,4.9,,15.3,,5.3,,2.5,,2.2
Black gram,29.0,,1.0,,5.3,,62.1,,5.6,,17.0,,2.0,,7.0,,2.5
Whole Cottonseed,22.0,,17.3,,18.0,,40.0,,3.7,,48.0,,42.7,,17.45,,3.3
Milling by-products,,,,,,,,,,,,,,,,,
Wheat bran,16.0,,2.2,,15.0,,59.9,,8.4,,64.0,,14.5,,3.6,,2.7
Rice bran (de-oiled),17.0,,1.5,,18.0,,48.1,,18.2,,38.2,,11.9,,4.3,,2.1
Rice polish,14.0,,14.0,,12.0,,49.2,,11.8,,19.4,,15.0,,3.0,,2.7
Brewer’s grain,25.4,,6.5,,14.9,,48.4,,4.8,,44.0,,23.0,,5.5,,2.4
Molasses,,,,,,,,,,,,,,,,,
Cane molasses,2.0,,8.5,,-,,84.2,,3.5,,-,,-,,-,,2.6
Plant protein concentrates,,,,,,,,,,,,,,,,,
Soybean meal,53.0,,1.4,,7.0,,36.0,,8.6,,18.6,,8.8,,1.5,,2.5
Groundnut oil cake,40.0,,8.2,,7.4,,35.9,,7.5,,23.3,,18.2,,3.6,,2.8
Groundnut meal,44.0,,1.0,,13.2,,35.4,,6.1,,31.2,,22.1,,3.0,,2.7
Cottonseed meal (decorticated),41.0,,9.2,,6.3,,37.8,,8.2,,28.0,,20.0,,6.0,,2.8
Cottonseed meal (undecorticated),22.8,,9.2,,24.1,,36.6,,7.3,,53.9,,41.2,,11.5,,2.5
Rapeseed meal,42.0,,1.0,,8.5,,48.2,,4.7,,23.8,,15.4,,2.4,,2.5
Rape seed cake,38.0,,7.5,,7.9,,45.1,,4.3,,25.6,,18.6,,6.3,,2.9
Sunflower meal (undecorticated),31.0,,6.7,,25.3,,27.2,,14.0,,39.9,,26.9,,8.2,,1.9
Sesame oil cake,30.0,,10.0,,8.0,,39.2,,8.6,,14.3,,8.2,,1.3,,2.3
Coconut meal,30.0,,0.5,,9.0,,54.5,,9.0,,37.6,,22.2,,3.1,,2.3
Sorghum (Soghum bicolor),7.0,1.2,38.9,47.1,8.5,56.5,40.3,1.9
Wheat (Triticum aestivum),3.5,1.0,41.5,43.0,11.0,72.3,43.5,1.9
Maize (Zea mays),3.6,0.8,33.2,51.9,10.5,62.2,37.4,2.1
Oats (Avena sativa),5.6,1.7,35.9,48.5,8.3,58.0,36.4,2.0
Cowpea (Vigna sinensis),15.0,1.1,34.8,35.5,13.3,54.0,48.0,1.8
Peanut (Arachis hypogaea),10.8,3.4,33.2,44.0,8.6,45.0,36.0,2.0
Rice (Oryza sativa),8.2,1.0,32.0,43.1,15.7,71.7,48.7,1.9
Soybean (Glycine max),15.0,1.3,29.1,42.6,12.0,59.0,42.8,1.9
Cassava (Manihot esculenta),15.4,12.2,22.8,41.1,8.5,40.2,30.7,2.5
Lucerne (Medicago sativa),16,1.4,29.4,35.2,12.7,43.6,35.8,2.0
Guar (Cyamopsis tetragonoloba),25.2,0.9,13.8,43.6,16.5,48.9,33.3,1.8
Moth bean (Phaseolus aconitifolius),15.0,1.2,29.1,42.7,12.0,61.6,45.0,2.1
Chickpea (Cicer arietinum),12.2,2.3,33.0,42.3,10.2,55.1,40.5,1.8
Berseem (Trifolium alexandrinum),15,6.6,30.6,36.0,12.1,49.6,50.4,2.4
Cogon grass (Imperata cylindrica),4.7,1.7,38.1,49.2,6.3,63.3,43.6,1.1
Para grass (Brachiaria mutica),5.3,2.0,34.6,45.8,12.3,64.4,30.4,1.7
Guinea grass (Panicum maximum),7.6,1.2,38.1,37.1,16.0,60.5,39.7,1.7
Rhodes grass (Chloris gayana),9.4,1.2,36.2,42.1,11.1,72.0,39.8,2.1
Pigeon pea (Cajanus cajan),9.3,2.5,29.7,49.2,9.3,78.6,60.2,2.2
Garden pea (Pisum sativum),10.9,1.9,29.2,50.3,7.7,67.2,45.9,1.8
Lemon grass (Cymbopogon citratus),6.6,1.0,34.3,51.9,6.2,72.6,44.1,1.9
Marvel grass (Dichanthium annulatum),4.6,0.9,38.9,46.1,9.5,63.8,41.1,2.1
CP,EE,CF,NFE,Ash,NDF,ADF,ME
(%),(%),(%),(%),(%),(%),(%),(Mcal/kg)
"",(%),(%),(%),(%),(%),(%),(%),(Mcal
Rice grass (Leersia hexandra),6.3,1.5,31.4,45.9,14.9,66.2,36.2,2.2
Ulla grass (Themeda arundinacea),1.9,1.0,49.0,43.5,4.6,-,-,1.7
Molasses grass (Melinis minutiflora),4.4,1.1,37.8,46.6,10.1,69.8,40.4,1.9
Natal grass (Rhynchelytrum roseum),5.6,1.4,41.6,43.4,8.0,66.8,36.9,1.9
Bermuda grass (Cynodon dactylon),8.4,1.4,20.2,58.4,11.6,71.1,38.2,1.8
